document,dovish,hawkish,neutral,date
20191126.txt,0.29483052073204963,0.2154163570305929,0.4897531268331871,2019-11-26
20191218.txt,0.02185224830571219,0.0014832648196668168,0.9766644842438645,2019-12-18
20240108.txt,0.03128171578887954,0.1154442961895776,0.853273997902995,2024-01-08
20240116.txt,0.20667860970143406,0.22959683690430172,0.563724558343592,2024-01-16
20240117.txt,0.01049476572857431,0.06590414011620425,0.9236010946710292,2024-01-17
20240202.txt,8.09111947351734e-05,0.00011664335345683088,0.9998024702072144,2024-02-02
20240207.txt,0.08409285236840155,0.07357386324869807,0.8423332852162903,2024-02-07
20240212.txt,0.0057896795545300415,0.0445358915903102,0.9496744329007257,2024-02-12
20240214.txt,0.24620843943396792,0.15733845668007865,0.5964531065299945,2024-02-14
20240215.txt,0.004031759418329316,0.009804225673812625,0.9861640189633225,2024-02-15
20240216.txt,0.03615877510353546,0.008343663505957782,0.9554975625005219,2024-02-16
20240222.txt,0.18307654119102648,0.261554661770427,0.5553687987395722,2024-02-22
20240227.txt,0.007325730261030447,0.057083938358203364,0.9355903322433479,2024-02-27
20240301.txt,0.13986759772078786,0.2268366435660658,0.6332957585873108,2024-03-01
20240305.txt,0.000847836644768702,0.024614436757918964,0.9745377266572581,2024-03-05
20240307.txt,0.014200631811642475,0.25479566476982046,0.7310037013570158,2024-03-07
20240325.txt,0.13966709208720532,0.276655015993745,0.5836778838118993,2024-03-25
20240327.txt,0.15541829873225274,0.300142672339242,0.5444390243954268,2024-03-27
20240401.txt,0.018103514883478056,0.01069562361884718,0.9712008592628297,2024-04-01
20240402.txt,0.0049040688393099975,0.017886170854741496,0.9772097639666468,2024-04-02
20240403.txt,0.09234426624839127,0.08467979438784609,0.822975935906488,2024-04-03
20240404.txt,0.0002824161588339884,0.0008876821232786146,0.9988299076463661,2024-04-04
20240405.txt,5.33576943174315e-05,0.0001517028261635763,0.9997948805491129,2024-04-05
20240416.txt,0.03180758947764748,0.07664749310163724,0.8915449243198278,2024-04-16
20240418.txt,0.021165354731860327,0.012066841720393552,0.9667677876208663,2024-04-18
20240503.txt,0.06307804281854519,0.5945502718411652,0.342371681152976,2024-05-03
20240504.txt,0.00018960361215985833,0.00035370154364500195,0.9994566972766604,2024-05-04
20240508.txt,0.03174748024400248,0.18045583085008926,0.7877967064066426,2024-05-08
20240510.txt,0.04009767342376867,0.0826738840620568,0.8772284473782724,2024-05-10
20240513.txt,0.019265408563833453,0.010609882650413538,0.97012470467415,2024-05-13
20240514.txt,0.030730016934103332,0.06397705343610141,0.9052929376795267,2024-05-14
20240515.txt,0.005003972675622208,0.0005431957260589116,0.9944528371095658,2024-05-15
20240517.txt,0.02985520031735892,0.08903031773583539,0.8811144814095054,2024-05-17
20240518.txt,0.00023948460934661853,0.000539495227894804,0.9992210268974304,2024-05-18
20240519.txt,0.007026362169401384,0.004287169317278851,0.9886864616915032,2024-05-19
20240520.txt,0.09012964987383229,0.11340610348964963,0.7964642472248834,2024-05-20
20240521.txt,0.15895715958348924,0.21883517893346985,0.622207660091893,2024-05-21
20240524.txt,0.1631623111195161,0.16098489794786836,0.6758527931244596,2024-05-24
20240528.txt,0.40195392999521573,0.11942912963786512,0.47861694005636807,2024-05-28
20240607.txt,0.0002705813472857699,0.0006845966982447343,0.9990448210920606,2024-06-07
20240614.txt,0.0007571202648328023,0.00037348301331339246,0.99886938992967,2024-06-14
20240617.txt,0.0038332580794805584,0.0009463599633128414,0.9952203844641817,2024-06-17
20240618.txt,0.23299793280267447,0.3482633770564261,0.4187386916948833,2024-06-18
20240624.txt,0.021637417729341125,0.03584787704374841,0.942514690585501,2024-06-24
20240625.txt,0.10148242295072418,0.12104643146058817,0.7774711417978841,2024-06-25
20240626.txt,0.061967385566932015,0.2534166501902428,0.6846159694446263,2024-06-26
20240627.txt,0.054748195301019424,0.19254465812173294,0.7527071517290972,2024-06-27
20240709.txt,0.017212491469096373,0.010191449326399985,0.9725960537791252,2024-07-09
20240710.txt,0.109353780112239,0.03134930313252779,0.8592969139475221,2024-07-10
20240716.txt,0.0329123900779091,0.04404193462719985,0.9230456780290986,2024-07-16
20240717.txt,0.24320174290270793,0.22085727566673086,0.5359409841429018,2024-07-17
20240718.txt,0.04829602892075929,0.021928285579234985,0.9297756823545246,2024-07-18
20240724.txt,0.0016301640337995447,0.03090563416744458,0.9674642024369076,2024-07-24
20240810.txt,0.10371690008632022,0.14425303200624873,0.7520300731462898,2024-08-10
20240819.txt,0.00203612267250719,0.032604574313154444,0.9653593190014362,2024-08-19
